"date","country","ticker","field","value"
2005-01-31,"Thailand","MXTH Index","PX_TO_SALES_RATIO",1.6927
2005-01-31,"Thailand","MXTH Index","RETURN_COM_EQY",21.0306
2005-01-31,"Thailand","MXTH Index","RETURN_ON_ASSET",3.5703
2005-01-31,"Thailand","MXTH Index","TRAIL_12M_EPS",21.9557
2005-01-31,"Turkey","MXTR Index","PE_RATIO",11.9895
2005-01-31,"Turkey","MXTR Index","PROF_MARGIN",7.6561
2005-01-31,"Turkey","MXTR Index","PX_TO_BOOK_RATIO",1.6734
2005-01-31,"Turkey","MXTR Index","PX_TO_SALES_RATIO",0.9179
2005-01-31,"Turkey","MXTR Index","RETURN_COM_EQY",13.9572
2005-01-31,"Turkey","MXTR Index","RETURN_ON_ASSET",3.0872
2005-01-31,"Turkey","MXTR Index","TRAIL_12M_EPS",38545.0147
2005-02-28,"Brazil","MXBR Index","PE_RATIO",15.6911
2005-02-28,"Brazil","MXBR Index","PROF_MARGIN",14.3534
2005-02-28,"Brazil","MXBR Index","PX_TO_BOOK_RATIO",4.0297
2005-02-28,"Brazil","MXBR Index","PX_TO_CASH_FLOW",10.3932
2005-02-28,"Brazil","MXBR Index","PX_TO_FREE_CASH_FLOW",25.5096
2005-02-28,"Brazil","MXBR Index","PX_TO_SALES_RATIO",2.242
2005-02-28,"Brazil","MXBR Index","RETURN_COM_EQY",25.7158
2005-02-28,"Brazil","MXBR Index","RETURN_ON_ASSET",8.0628
2005-02-28,"Brazil","MXBR Index","TRAIL_12M_EPS",76.308
2005-02-28,"Greece","MXGR Index","PE_RATIO",20.399
2005-02-28,"Greece","MXGR Index","PROF_MARGIN",10.9516
2005-02-28,"Greece","MXGR Index","PX_TO_BOOK_RATIO",2.8902
2005-02-28,"Greece","MXGR Index","PX_TO_SALES_RATIO",2.234
2005-02-28,"Greece","MXGR Index","RETURN_COM_EQY",14.1686
2005-02-28,"Greece","MXGR Index","RETURN_ON_ASSET",1.3518
2005-02-28,"Greece","MXGR Index","TRAIL_12M_EPS",4.8129
2005-02-28,"India","MXIN Index","PE_RATIO",18.4935
2005-02-28,"India","MXIN Index","PROF_MARGIN",10.3592
2005-02-28,"India","MXIN Index","PX_TO_BOOK_RATIO",4.0668
2005-02-28,"India","MXIN Index","PX_TO_CASH_FLOW",12.5332
2005-02-28,"India","MXIN Index","PX_TO_FREE_CASH_FLOW",21.2757
2005-02-28,"India","MXIN Index","PX_TO_SALES_RATIO",1.996
2005-02-28,"India","MXIN Index","RETURN_COM_EQY",21.1063
2005-02-28,"India","MXIN Index","RETURN_ON_ASSET",4.5435
2005-02-28,"India","MXIN Index","TRAIL_12M_EPS",14.239
2005-02-28,"Indonesia","MXID Index","PE_RATIO",12.4068
2005-02-28,"Indonesia","MXID Index","PROF_MARGIN",13.7142
2005-02-28,"Indonesia","MXID Index","PX_TO_BOOK_RATIO",3.2236
2005-02-28,"Indonesia","MXID Index","PX_TO_CASH_FLOW",6.4273
2005-02-28,"Indonesia","MXID Index","PX_TO_FREE_CASH_FLOW",15.4477
2005-02-28,"Indonesia","MXID Index","PX_TO_SALES_RATIO",1.805
2005-02-28,"Indonesia","MXID Index","RETURN_COM_EQY",24.4933
2005-02-28,"Indonesia","MXID Index","RETURN_ON_ASSET",5.0006
2005-02-28,"Indonesia","MXID Index","TRAIL_12M_EPS",106.3868
2005-02-28,"Malaysia","MXMY Index","PE_RATIO",15.5259
2005-02-28,"Malaysia","MXMY Index","PROF_MARGIN",13.4251
2005-02-28,"Malaysia","MXMY Index","PX_TO_BOOK_RATIO",1.9762
2005-02-28,"Malaysia","MXMY Index","PX_TO_CASH_FLOW",9.3129
2005-02-28,"Malaysia","MXMY Index","PX_TO_FREE_CASH_FLOW",25.2841
2005-02-28,"Malaysia","MXMY Index","PX_TO_SALES_RATIO",2.0972
2005-02-28,"Malaysia","MXMY Index","RETURN_COM_EQY",12.6505
2005-02-28,"Malaysia","MXMY Index","RETURN_ON_ASSET",3.1308
2005-02-28,"Malaysia","MXMY Index","TRAIL_12M_EPS",21.649
2005-02-28,"Mexico","MXMX Index","BEST_EPS",215.7199
2005-02-28,"Mexico","MXMX Index","BEST_PE_RATIO",13.5898
2005-02-28,"Mexico","MXMX Index","PE_RATIO",13.7512
2005-02-28,"Mexico","MXMX Index","PROF_MARGIN",11.7199
2005-02-28,"Mexico","MXMX Index","PX_TO_BOOK_RATIO",2.6336
2005-02-28,"Mexico","MXMX Index","PX_TO_CASH_FLOW",7.1397
2005-02-28,"Mexico","MXMX Index","PX_TO_FREE_CASH_FLOW",10.7116
2005-02-28,"Mexico","MXMX Index","PX_TO_SALES_RATIO",1.5946
2005-02-28,"Mexico","MXMX Index","RETURN_COM_EQY",19.3528
2005-02-28,"Mexico","MXMX Index","RETURN_ON_ASSET",6.9233
2005-02-28,"Mexico","MXMX Index","TRAIL_12M_EPS",199.6888
2005-02-28,"Philippines","MXPH Index","PE_RATIO",13.9655
2005-02-28,"Philippines","MXPH Index","PROF_MARGIN",11.3954
2005-02-28,"Philippines","MXPH Index","PX_TO_BOOK_RATIO",2.1094
2005-02-28,"Philippines","MXPH Index","PX_TO_CASH_FLOW",14.1292
2005-02-28,"Philippines","MXPH Index","PX_TO_SALES_RATIO",1.5749
2005-02-28,"Philippines","MXPH Index","RETURN_COM_EQY",14.9641
2005-02-28,"Philippines","MXPH Index","RETURN_ON_ASSET",3.3198
2005-02-28,"Philippines","MXPH Index","TRAIL_12M_EPS",29.0758
2005-02-28,"Poland","MXPL Index","PE_RATIO",12.6875
2005-02-28,"Poland","MXPL Index","PROF_MARGIN",9.5822
2005-02-28,"Poland","MXPL Index","PX_TO_BOOK_RATIO",2.1088
2005-02-28,"Poland","MXPL Index","PX_TO_CASH_FLOW",6.8727
2005-02-28,"Poland","MXPL Index","PX_TO_FREE_CASH_FLOW",7.2316
2005-02-28,"Poland","MXPL Index","PX_TO_SALES_RATIO",1.244
2005-02-28,"Poland","MXPL Index","RETURN_COM_EQY",16.2433
2005-02-28,"Poland","MXPL Index","RETURN_ON_ASSET",4.4691
2005-02-28,"Poland","MXPL Index","TRAIL_12M_EPS",117.0674
2005-02-28,"South Africa","MXZA Index","PE_RATIO",17.3447
2005-02-28,"South Africa","MXZA Index","PROF_MARGIN",6.8261
2005-02-28,"South Africa","MXZA Index","PX_TO_BOOK_RATIO",2.3147
2005-02-28,"South Africa","MXZA Index","PX_TO_CASH_FLOW",9.3529
2005-02-28,"South Africa","MXZA Index","PX_TO_FREE_CASH_FLOW",40.8984
2005-02-28,"South Africa","MXZA Index","PX_TO_SALES_RATIO",1.2021
2005-02-28,"South Africa","MXZA Index","RETURN_COM_EQY",13.1442
2005-02-28,"South Africa","MXZA Index","RETURN_ON_ASSET",2.2089
2005-02-28,"South Africa","MXZA Index","TRAIL_12M_EPS",22.5162
2005-02-28,"South Korea","MXKR Index","PX_TO_BOOK_RATIO",1.6244
2005-02-28,"Taiwan","TAMSCI Index","PX_TO_BOOK_RATIO",2.1918
2005-02-28,"Taiwan","TAMSCI Index","TRAIL_12M_EPS",15.8372
2005-02-28,"Thailand","MXTH Index","PE_RATIO",11.3079
2005-02-28,"Thailand","MXTH Index","PROF_MARGIN",16.9309
2005-02-28,"Thailand","MXTH Index","PX_TO_BOOK_RATIO",2.6283
2005-02-28,"Thailand","MXTH Index","PX_TO_CASH_FLOW",6.2159
2005-02-28,"Thailand","MXTH Index","PX_TO_FREE_CASH_FLOW",24.9433
2005-02-28,"Thailand","MXTH Index","PX_TO_SALES_RATIO",1.9116
2005-02-28,"Thailand","MXTH Index","RETURN_COM_EQY",23.2474
2005-02-28,"Thailand","MXTH Index","RETURN_ON_ASSET",4.0853
2005-02-28,"Thailand","MXTH Index","TRAIL_12M_EPS",24.6201
2005-02-28,"Turkey","MXTR Index","PE_RATIO",12.4287
2005-02-28,"Turkey","MXTR Index","PROF_MARGIN",7.6561
2005-02-28,"Turkey","MXTR Index","PX_TO_BOOK_RATIO",1.7347
2005-02-28,"Turkey","MXTR Index","PX_TO_SALES_RATIO",0.9516
2005-02-28,"Turkey","MXTR Index","RETURN_COM_EQY",13.9572
2005-02-28,"Turkey","MXTR Index","RETURN_ON_ASSET",3.0872
2005-02-28,"Turkey","MXTR Index","TRAIL_12M_EPS",38486.3905
2005-03-31,"Brazil","MXBR Index","PE_RATIO",11.2011
2005-03-31,"Brazil","MXBR Index","PROF_MARGIN",15.7975
2005-03-31,"Brazil","MXBR Index","PX_TO_BOOK_RATIO",3.0853
2005-03-31,"Brazil","MXBR Index","PX_TO_CASH_FLOW",8.0494
2005-03-31,"Brazil","MXBR Index","PX_TO_FREE_CASH_FLOW",18.5396
2005-03-31,"Brazil","MXBR Index","PX_TO_SALES_RATIO",1.769
2005-03-31,"Brazil","MXBR Index","RETURN_COM_EQY",27.5517
2005-03-31,"Brazil","MXBR Index","RETURN_ON_ASSET",7.5811
2005-03-31,"Brazil","MXBR Index","TRAIL_12M_EPS",97.383
2005-03-31,"Greece","MXGR Index","PE_RATIO",18.4816
2005-03-31,"Greece","MXGR Index","PROF_MARGIN",9.2859
2005-03-31,"Greece","MXGR Index","PX_TO_BOOK_RATIO",2.5239
2005-03-31,"Greece","MXGR Index","PX_TO_SALES_RATIO",1.7159
2005-03-31,"Greece","MXGR Index","RETURN_COM_EQY",13.6585
2005-03-31,"Greece","MXGR Index","RETURN_ON_ASSET",1.5188
2005-03-31,"Greece","MXGR Index","TRAIL_12M_EPS",4.6733
2005-03-31,"India","MXIN Index","PE_RATIO",17.9075
2005-03-31,"India","MXIN Index","PROF_MARGIN",10.3592
