date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2010-05-31,-0.03220242248114177,-0.03760242248114177,-0.017642792558048237,4,0.0054,12,True,True,Mexico|Poland|Taiwan
2010-07-30,0.04016173297372417,0.04016173297372417,0.01623685891760318,0,0.0,12,False,False,Mexico|Poland|Taiwan
2010-09-30,0.052138566899340565,0.052138566899340565,0.036362867508806795,0,0.0,12,False,False,Mexico|Poland|Taiwan
2010-11-30,0.03975916417263097,0.03705916417263097,0.03969568491722475,2,0.0027,12,True,True,Mexico|Poland|South Korea
2010-12-30,0.0955950216752903,0.0955950216752903,,0,0.0,5,False,False,Mexico|Poland|South Korea
2011-03-31,0.03172572194701157,0.03172572194701157,0.027671306281018326,0,0.0,11,False,False,Mexico|Poland|South Korea
2011-04-29,0.01670065167870963,0.01670065167870963,-0.011695777504952765,0,0.0,12,False,False,Mexico|Poland|South Korea
2011-05-31,-0.008081641207348866,-0.010781641207348865,0.004253364354271705,2,0.0027,11,True,True,Mexico|Philippines|Poland
2011-06-30,-0.013615097495610498,-0.013615097495610498,-0.025852008568030382,0,0.0,11,False,False,Mexico|Philippines|Poland
2011-07-29,0.015996691152717065,0.015996691152717065,0.007262879390074639,0,0.0,11,False,False,Mexico|Philippines|Poland
2011-09-30,-0.09492329163520903,-0.09492329163520903,-0.08648456216090539,0,0.0,11,False,False,Mexico|Philippines|Poland
2011-10-28,0.0494631972938679,0.0494631972938679,,0,0.0,1,False,False,Mexico|Philippines|Poland
2011-11-29,-0.0049883977054547,-0.0049883977054547,,0,0.0,1,False,False,Mexico|Philippines|Poland
2011-12-29,0.0663665443685213,0.0663665443685213,,0,0.0,2,False,False,Mexico|Philippines|Poland
2012-01-31,0.09955398564101903,0.09955398564101903,0.10332076775140742,0,0.0,12,False,False,Mexico|Philippines|Poland
2012-02-29,-0.0177288171031606,-0.0231288171031606,0.0403564331623496,4,0.0054,11,True,True,Greece|Poland|South Korea
2012-03-30,-0.0076467862757875335,-0.0076467862757875335,-0.03146454745494631,0,0.0,11,False,False,Greece|Poland|South Korea
2012-04-30,-0.026697677018166697,-0.026697677018166697,-0.005064524474505672,0,0.0,11,False,False,Greece|Poland|South Korea
2012-05-31,-0.13264919359130967,-0.13534919359130967,-0.047273426426097,2,0.0027,11,True,True,Greece|Poland|South Africa
2012-06-29,0.05835493422136238,0.05835493422136238,0.01404524140692609,0,0.0,11,False,False,Greece|Poland|South Africa
2012-07-31,0.0168208753602332,0.0168208753602332,0.04556536479305806,0,0.0,10,False,False,Greece|Poland|South Africa
2012-09-28,-0.010693498255433767,-0.010693498255433767,0.035399962743894564,0,0.0,12,False,False,Greece|Poland|South Africa
2012-10-31,0.033130638461537,0.033130638461537,-0.014235520166096083,0,0.0,12,False,False,Greece|Poland|South Africa
2012-12-28,0.0696091722657761,0.0696091722657761,,0,0.0,5,False,False,Greece|Poland|South Africa
2013-01-31,-0.012100546812155132,-0.012100546812155132,-0.013602877709385841,0,0.0,11,False,False,Greece|Poland|South Africa
2013-04-30,-0.02408871727178577,-0.02408871727178577,-0.01692861267206658,0,0.0,12,False,False,Greece|Poland|South Africa
2013-05-31,-0.026472491779877,-0.031872491779877,-0.009199205649828568,4,0.0054,13,True,True,Greece|Taiwan|Turkey
2013-06-28,-0.0750447785833567,-0.0750447785833567,-0.06911836726797005,0,0.0,12,False,False,Greece|Taiwan|Turkey
2013-07-31,-0.0015983973311933981,-0.0015983973311933981,-0.010763216219089045,0,0.0,12,False,False,Greece|Taiwan|Turkey
2013-08-29,-0.123629147850123,-0.123629147850123,,0,0.0,0,False,False,Greece|Taiwan|Turkey
2013-09-30,0.07136612779236197,0.07136612779236197,0.03925480934772474,0,0.0,13,False,False,Greece|Taiwan|Turkey
2013-10-31,0.080640547132916,0.080640547132916,0.04186992996404171,0,0.0,11,False,False,Greece|Taiwan|Turkey
2013-11-29,-0.0021381541824456,-0.0075381541824456,-0.014022705271235503,4,0.0054,11,True,True,Greece|Poland|South Korea
2014-04-30,-0.0350903160378987,-0.0350903160378987,-0.003392297537086253,0,0.0,13,False,False,Greece|Poland|South Korea
2014-05-30,0.024880722666013766,0.022180722666013765,0.05132832756589245,2,0.0027,13,True,True,Greece|Poland|Taiwan
2014-06-30,0.004817398693305402,0.004817398693305402,0.021795740875757197,0,0.0,13,False,False,Greece|Poland|Taiwan
2014-09-30,-0.025598395386299964,-0.025598395386299964,-0.03222338325275875,0,0.0,12,False,False,Greece|Poland|Taiwan
2014-10-31,-0.046526371845131274,-0.046526371845131274,0.01581749700417201,0,0.0,12,False,False,Greece|Poland|Taiwan
2014-11-28,0.0249136988101339,0.022213698810133898,-0.0035540136460593397,2,0.0027,12,True,True,Greece|Taiwan|Thailand
2015-01-30,-0.01876533046790953,-0.01876533046790953,0.07955062731007101,0,0.0,12,False,False,Greece|Taiwan|Thailand
2015-02-26,0.0516765870650995,0.0516765870650995,,0,0.0,1,False,False,Greece|Taiwan|Thailand
2015-03-31,-0.023014447366535698,-0.023014447366535698,0.030461286569471557,0,0.0,12,False,False,Greece|Taiwan|Thailand
2015-04-30,-0.0038522430187784332,-0.0038522430187784332,0.03198796321949948,0,0.0,12,False,False,Greece|Taiwan|Thailand
2015-05-29,-0.02331116447353147,-0.02601116447353147,-0.012908496969808336,2,0.0027,12,True,True,Greece|South Africa|Thailand
2015-06-30,-0.018091585118511933,-0.018091585118511933,-0.04446701457294,0,0.0,12,False,False,Greece|South Africa|Thailand
2015-07-31,-0.035341757533627234,-0.035341757533627234,-0.05782081031521524,0,0.0,12,False,False,Greece|South Africa|Thailand
2015-09-30,-0.043354145982165866,-0.043354145982165866,-0.024081684638193046,0,0.0,12,False,False,Greece|South Africa|Thailand
2015-10-30,0.09011164800644068,0.09011164800644068,0.08555103521442486,0,0.0,12,False,False,Greece|South Africa|Thailand
2016-01-29,-0.06485543471900214,-0.06485543471900214,-0.06489545906712135,0,0.0,13,False,False,Greece|South Africa|Thailand
2016-03-31,0.10934872671453877,0.10934872671453877,0.07764022219678268,0,0.0,13,False,False,Greece|South Africa|Thailand
2016-04-28,0.0277777777777779,0.0277777777777779,,0,0.0,1,False,False,Greece|South Africa|Thailand
2016-05-31,0.05222369179721462,0.04952369179721462,-0.010996406585790042,2,0.0027,13,True,True,Greece|South Korea|Thailand
2016-06-30,-0.06113604197566644,-0.06113604197566644,0.044088445384409036,0,0.0,13,False,False,Greece|South Korea|Thailand
2016-07-29,0.06017674607848204,0.06017674607848204,0.04136794546037903,0,0.0,13,False,False,Greece|South Korea|Thailand
2016-09-30,-0.030453548928116633,-0.030453548928116633,0.0065825847278679905,0,0.0,13,False,False,Greece|South Korea|Thailand
2016-12-29,0.0133003948210071,0.0133003948210071,,0,0.0,1,False,False,Greece|South Korea|Thailand
2017-03-31,0.0263046173910771,0.0263046173910771,0.016851950068660138,0,0.0,11,False,False,Greece|South Korea|Thailand
2017-05-31,-0.0012313114946346342,-0.003931311494634634,-0.004132187119153419,2,0.0027,12,True,True,Poland|South Korea|Thailand
2017-07-31,0.003162531657599234,0.003162531657599234,0.0208472637519026,0,0.0,13,False,False,Poland|South Korea|Thailand
2017-09-29,0.0076525709119463665,0.0076525709119463665,0.0031792499605121094,0,0.0,13,False,False,Poland|South Korea|Thailand
2017-12-28,0.0116779986505422,0.0116779986505422,,0,0.0,1,False,False,Poland|South Korea|Thailand
