date,holdings,n_countries,rebalanced,is_active,n_trades,gross_return,net_return,benchmark
2005-05-31,Mexico|Poland|South Korea,11,True,True,3,0.09682848292007618,0.09277848292007618,0.08168703673354227
2005-06-30,Mexico|Poland|South Korea,11,True,True,0,0.0654131230823871,0.0654131230823871,0.055788227556693215
2005-07-29,Mexico|Poland|South Korea,11,True,True,0,0.08945482648006432,0.08945482648006432,0.06414842357916717
2005-09-30,Mexico|Poland|South Korea,8,False,False,0,0.14721315045191966,0.14721315045191966,0.11463161987176118
2005-11-30,Mexico|Poland|South Korea,7,False,False,0,0.10414760781270027,0.10414760781270027,0.10175577000613956
2005-12-29,Mexico|Poland|South Korea,0,False,False,0,0.0926796280642435,0.0926796280642435,
2006-03-31,Mexico|Poland|South Korea,7,False,False,0,-0.020842499156402267,-0.020842499156402267,-0.009972678977469895
2006-04-28,Mexico|Poland|South Korea,9,False,False,0,0.04803310269858643,0.04803310269858643,0.030930509718608112
2006-05-30,Mexico|Poland|South Korea,2,False,False,0,-0.0951091001101421,-0.0951091001101421,
2006-06-30,Mexico|Poland,10,True,True,1,0.0152921665054727,0.013942166505472699,-0.006961657058976112
2006-07-31,Mexico|Poland,10,True,True,0,0.1081717864697383,0.1081717864697383,0.015111526114252039
2006-10-31,Mexico|Poland,9,False,False,0,0.0725609086227007,0.0725609086227007,0.040269551014496585
2006-11-30,Philippines|Poland,10,True,True,2,0.02597466390205875,0.023274663902058748,0.03713815659223996
2007-01-31,Mexico|Poland,10,True,True,2,0.04652088684468195,0.043820886844681946,0.0031191079168335634
2007-03-30,Mexico|Poland,9,False,False,0,0.08321268220130705,0.08321268220130705,0.028760893703883905
2007-04-30,Mexico|Poland,9,False,False,0,0.016947958656006748,0.016947958656006748,0.026436927295568013
2007-06-29,Philippines|Poland,10,True,True,2,0.044432194174787054,0.04173219417478705,0.04014401467982087
2007-07-31,Philippines|Poland,10,True,True,0,-0.01957712716017285,-0.01957712716017285,0.04505266686835219
2007-09-28,Indonesia|Philippines|Poland,11,True,True,1,0.0433244264264795,0.0419744264264795,0.059841240375279936
2007-10-31,Indonesia|Philippines|Poland,11,True,True,0,0.10500916412034966,0.10500916412034966,0.08953624832275464
2007-11-29,Indonesia|Philippines|Poland,1,False,False,0,-0.0638166092771875,-0.0638166092771875,
2007-12-28,Indonesia|Philippines|Poland,4,False,False,0,0.0110742714978147,0.0110742714978147,
2008-01-31,Mexico|Poland|Taiwan,11,True,True,4,-0.10027813422578753,-0.10567813422578753,-0.1430775690769327
2008-02-29,Poland|Taiwan,10,True,True,1,0.0667813153726897,0.0654313153726897,0.05086282461912295
2008-03-31,Mexico|Taiwan,10,True,True,2,-0.0006218227248399504,-0.0033218227248399505,-0.09185353738764457
2008-04-30,Mexico|Taiwan,10,True,True,0,0.02625227128224185,0.02625227128224185,0.09505105626189136
2008-05-30,Indonesia|Mexico,10,True,True,2,0.0524160716608173,0.0497160716608173,0.018095703466179502
2008-06-30,Indonesia|Mexico|Taiwan,11,True,True,1,-0.09269270166475714,-0.09404270166475714,-0.11311055788224755
2008-07-31,Malaysia|Mexico|Taiwan,11,True,True,2,-0.0433356600243275,-0.046035660024327504,-0.026910562381513903
2008-08-29,Malaysia|Taiwan|Thailand,11,True,True,2,0.030340895392879836,0.027640895392879835,-0.019283758230605352
2008-10-31,Indonesia|Mexico|Taiwan,11,True,True,4,-0.219361693861536,-0.224761693861536,-0.20053155131731482
2008-11-28,Indonesia|Mexico|Taiwan,11,True,True,0,-0.08686112211021357,-0.08686112211021357,-0.07206135650972634
2009-01-21,Indonesia|Mexico|Taiwan,1,False,False,0,-0.0268206419098285,-0.0268206419098285,
2009-02-27,Indonesia|Philippines|Taiwan,11,True,True,2,-0.006320391542963833,-0.009020391542963833,-0.04615147951982834
2009-03-31,Philippines|Taiwan,10,True,True,1,0.06894674969292724,0.06759674969292724,0.09912543065609092
2009-05-27,Philippines|Taiwan,1,False,False,0,0.0927629232106362,0.0927629232106362,
